phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q
0.0,0.0,1.0892,0.24003746619905217,0.5214580032966216,0.35105388824733236,0.0,0.4,0.2
0.01,0.0,1.0892,0.23054219988851934,0.517536415301305,0.32319903711261844,0.0,0.38333333333333336,0.21675000000000003
0.02,0.0,1.0892,0.2209828955603996,0.5137736190703962,0.2951766901432225,0.0,0.36666666666666664,0.23349999999999999
0.03,0.0,1.0892,0.21136220851554022,0.5101706598008756,0.26701011791400536,0.0,0.35000000000000003,0.25025000000000003
0.04,0.0,1.0892,0.20168281110514824,0.5067285382915957,0.23872270054966116,0.0,0.33333333333333337,0.267
0.05,0.0,1.0892,0.19194739198848826,0.5034482106652873,0.21033790386074272,0.0,0.31666666666666665,0.28375
0.06,0.0,1.0892,0.18215865538604972,0.5003305881029765,0.18187925539769143,0.0,0.30000000000000004,0.3005
0.07,0.0,1.0892,0.17231932032839184,0.4973765365908841,0.1533703204489823,0.0,0.2833333333333333,0.31725000000000003
0.08,0.0,1.0892,0.162432119900875,0.49458687667988044,0.12483467800955622,0.0,0.26666666666666666,0.334
0.09,0.0,1.0892,0.1524998004844879,0.4919623832575586,0.09629589674573527,0.0,0.25,0.35075
0.1,0.0,1.0892,0.14252512099298162,0.48950378533299377,0.06777751098282417,0.0,0.23333333333333334,0.36750000000000005
0.11,0.0,1.0892,0.13251085210652228,0.4872117658342454,0.039302996741568105,0.0,0.21666666666666665,0.38425000000000004
0.12,0.0,1.0892,0.12245977550207572,0.4850869614186587,0.010895747849581083,0.0,0.2,0.401
0.13,0.0,1.0892,0.11573998735279253,0.48376361578810334,-0.0061158357490660314,0.0,0.18888888888888888,0.40872222222222226
0.14,0.0,1.0892,0.10900591046318629,0.48251501462118596,-0.02309848778208161,0.0,0.17777777777777778,0.4164444444444445
0.15,0.0,1.0892,0.10225837619222103,0.48134131206461295,-0.04004774188527971,0.0,0.16666666666666669,0.4241666666666667
0.16,0.0,1.0892,0.09549821756024889,0.4802426530184438,-0.056959146651913636,0.0,0.15555555555555556,0.43188888888888893
0.17,0.0,1.0892,0.08872626914616905,0.4792191731182024,-0.07382826701890055,0.0,0.14444444444444443,0.4396111111111112
0.18,0.0,1.0892,0.0819433669843944,0.47827099871813183,-0.09065068564688887,0.0,0.13333333333333336,0.44733333333333336
0.19,0.0,1.0892,0.07515034846163834,0.47739824687559584,-0.10742200429370297,0.0,0.12222222222222222,0.4550555555555556
0.2,0.0,1.0892,0.06834805221353502,0.47660102533662696,-0.12413784518070106,0.0,0.1111111111111111,0.46277777777777784
0.21,0.0,1.0892,0.06153731802110487,0.4758794325226249,-0.14079385235158698,0.0,0.1,0.47050000000000003
0.22,0.0,1.0892,0.0547189867070792,0.4752335575182056,-0.1573856930232167,0.0,0.08888888888888889,0.47822222222222227
0.23,0.0,1.0892,0.0478939000320959,0.47466348006020376,-0.1739090589279449,0.0,0.07777777777777778,0.4859444444444445
0.24,0.0,1.0892,0.041062900590779446,0.4741692705278282,-0.19035966764705922,0.0,0.06666666666666668,0.4936666666666667
0.25,0.0,1.0892,0.034226831707717946,0.4737509899339739,-0.20673326393485394,0.0,0.05555555555555554,0.5013888888888889
0.26,0.0,1.0892,0.02738653733335013,0.4734086899176889,-0.22302562103289655,0.0,0.044444444444444425,0.5091111111111112
0.27,0.0,1.0892,0.020542861939774913,0.4731424127377998,-0.23923254197404584,0.0,0.033333333333333305,0.5168333333333334
0.28,0.0,1.0892,0.013696650416496684,0.4729521912676944,-0.25534986087578304,0.0,0.02222222222222219,0.5245555555555557
0.29,0.0,1.0892,0.006848747966119099,0.47283804899126314,-0.27137344422242055,0.0,0.011111111111111117,0.5322777777777778
0.3,0.0,1.0892,0.0,0.4728,-0.2872991921357596,0.0,0.0,0.54
0.31,0.0,1.0892,-0.00770479935052592,0.4728481556229688,-0.2960098612354262,0.0,-0.012500000000000011,0.5296000000000001
0.32,0.0,1.0892,-0.015408394841828692,0.4729926149676569,-0.304718055051014,0.0,-0.025000000000000022,0.5192
0.33,0.0,1.0892,-0.023109582802785727,0.4732333554625857,-0.31342256548112346,0.0,-0.03750000000000003,0.5088
0.34,0.0,1.0892,-0.030807159938446148,0.4735703394925428,-0.3221221848061531,0.0,-0.050000000000000044,0.4984
0.35,0.0,1.0892,-0.03849992351804314,0.47400351440445887,-0.33081570587633197,0.0,-0.062499999999999986,0.488
0.36,0.0,1.0892,-0.04618667156291838,0.4745328125156353,-0.3395019222996624,0.0,-0.075,0.4776
0.37,0.0,1.0892,-0.05386620303432843,0.47515815112431914,-0.3481796286297474,0.00014546969961259926,-0.08750000000000001,0.4672
0.38,0.0,1.0892,-0.061537318021104875,0.475879432522625,-0.35684762055346886,0.0014858562399737707,-0.10000000000000002,0.4568
0.39,0.0,1.0892,-0.06919881792713786,0.4766965440118017,-0.36550469507849137,0.0029241649461084207,-0.11250000000000003,0.4464
0.4,0.0,1.0892,-0.07684950565865437,0.4776093579198416,-0.3741496507205593,0.004460265406530106,-0.12500000000000003,0.436
0.41,0.0,1.0892,-0.08448818581126155,0.4786177316214286,-0.38278128769056,0.006094012247229996,-0.13749999999999998,0.42560000000000003
0.42,0.0,1.0892,-0.09211366485672655,0.4797215075602236,-0.39139840808132276,0.00782524515397448,-0.15,0.4152
0.43,0.0,1.0892,-0.09972475132946243,0.4809205132734815,-0.3999998160541237,0.009653788896934357,-0.1625,0.40480000000000005
0.44,0.0,1.0892,-0.10732025601269254,0.482214561418999,-0.40858431802487016,0.011579453357644542,-0.17500000000000002,0.3944
0.45,0.0,1.0892,-0.11489899212426316,0.4836034498043862,-0.4171507228499318,0.013602033558288262,-0.18750000000000003,0.384
0.46,0.0,1.0892,-0.12245977550207574,0.4850869614186587,-0.4256978420115929,0.01572130969330121,-0.20000000000000004,0.3736
0.47,0.0,1.0892,-0.13000142478910984,0.48666486446614465,-0.4342244898030936,0.017937047163290976,-0.21249999999999997,0.3632
0.48,0.0,1.0892,-0.13752276161800786,0.4883369124027034,-0.44272948351323455,0.020248996611268222,-0.22499999999999998,0.35280000000000006
0.49,0.0,1.0892,-0.1450226107951924,0.4901028439742464,-0.45121164361051314,0.022656893961179703,-0.2375,0.34240000000000004
0.5,0.0,1.0892,-0.1524998004844879,0.4919623832575586,-0.45966979392676416,0.02516046045874243,-0.25,0.332
0.51,0.0,1.0892,-0.15548406988223062,0.492732344537562,-0.4896897127403322,0.04488859021938124,-0.255,0.3861000000000001
0.52,0.0,1.0892,-0.1584644521863244,0.493517217477886,-0.5185387673772505,0.06619540953943587,-0.26,0.44020000000000015
0.53,0.0,1.0892,-0.16144087288736683,0.49431698245674804,-0.5461265552668608,0.08900924039866309,-0.265,0.4943000000000002
0.54,0.0,1.0892,-0.1644132575749955,0.4951316194800651,-0.5723670641874438,0.1132531942313833,-0.27,0.5484000000000002
0.55,0.0,1.0892,-0.16738153193974797,0.49596110818195416,-0.5971789723451677,0.1388454403361572,-0.275,0.6025000000000003
0.56,0.0,1.0892,-0.17034562177491971,0.49680542782524084,-0.620485932075382,0.16569949154109115,-0.28,0.6566000000000004
0.57,0.0,1.0892,-0.1733054529784192,0.497664557301978,-0.6422168361756351,0.1937245061272871,-0.285,0.7106999999999998
0.58,0.0,1.0892,-0.1762609515546206,0.4985384751339734,-0.6623060659404439,0.22282560495618886,-0.29,0.7647999999999998
0.59,0.0,1.0892,-0.17921204361621337,0.49942715947332705,-0.6806937200317331,0.2529042026934769,-0.295,0.8189
0.6,0.0,1.0892,-0.18215865538604967,0.5003305881029765,-0.6973258233857851,0.2838583519729535,-0.3,0.873
0.61,0.0,1.0892,-0.1644132575749955,0.4951316194800651,-0.6888740595244973,0.30226299264178097,-0.27,0.9484
0.62,0.0,1.0892,-0.14651989892968575,0.490467272301209,-0.6791935228654074,0.3215997195766388,-0.24,1.0238
0.63,0.0,1.0892,-0.12849468226513575,0.486341744164035,-0.6682833911907643,0.3418232688177909,-0.21,1.0992
0.64,0.0,1.0892,-0.11035382905967801,0.48275874776540195,-0.6561452231691162,0.3628871743375206,-0.18,1.1745999999999999
0.65,0.0,1.0892,-0.09211366485672655,0.4797215075602236,-0.6427829739742781,0.3847438681075689,-0.15,1.25
0.66,0.0,1.0892,-0.0615373180211048,0.4758794325226249,-0.6101970707931794,0.3699081359933951,-0.0999999999999999,1.2800000000000002
0.67,0.0,1.0892,-0.030807159938445974,0.4735703394925428,-0.5772378997793006,0.35664777299241757,-0.04999999999999977,1.31
0.68,0.0,1.0892,2.0530244171368392e-16,0.4728,-0.5439831618993443,0.3449729309966328,3.3306690738754696e-16,1.34
0.69,0.0,1.0892,0.03080715993844606,0.4735703394925428,-0.5105108380076405,0.3348898971091968,0.049999999999999906,1.3699999999999999
0.7,0.0,1.0892,0.06153731802110487,0.4758794325226249,-0.4768989959900225,0.3264010870872054,0.1,1.4
0.71,0.0,1.0892,0.10225837619222103,0.48134131206461295,-0.4115274782147773,0.2616107138055842,0.16666666666666669,1.3333333333333335
0.72,0.0,1.0892,0.14252512099298162,0.48950378533299377,-0.33748982685708107,0.20342147228218393,0.23333333333333334,1.2666666666666666
0.73,0.0,1.0892,0.18215865538604967,0.5003305881029765,-0.255564421713788,0.15297493783332916,0.3,1.2
0.74,0.0,1.0892,0.2209828955603996,0.5137736190703962,-0.16667808887581284,0.11131070010027966,0.36666666666666664,1.1333333333333333
