phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q,passive_ankle_q,toe_x_sim,toe_y_sim
0.0,0.0,1.0892,0.2400374661990521,0.5214580032966216,0.3510538882473323,0.0,0.4,0.2,0.0,0.5872499335070716,0.047879308721609753
0.01,0.0,1.0892,0.2305421998885193,0.517536415301305,0.3231990371126184,0.0,0.3833333333333333,0.21675,-0.0022151705227554663,0.560950824453196,0.03943459922911294
0.02,0.0,1.0892,0.2209828955603996,0.5137736190703962,0.2951766901432225,0.0,0.3666666666666666,0.2334999999999999,-0.006970554077854351,0.5342602177722382,0.030332603193028107
0.03,0.0,1.0892,0.2113622085155402,0.5101706598008756,0.2670101179140053,0.0,0.35,0.25025,-0.01276462978689936,0.5070989348838032,0.020937047691661267
0.04,0.0,1.0892,0.2016828111051482,0.5067285382915957,0.2387227005496611,0.0,0.3333333333333333,0.267,-0.0189716251642367,0.47945245373813605,0.01140990489951275
0.05,0.0,1.0892,0.1919473919884882,0.5034482106652873,0.2103379038607427,0.0,0.3166666666666666,0.28375,-0.025329937914872917,0.4513309681004054,0.001828384089237835
0.06,0.0,1.0892,0.1821586553860497,0.5003305881029765,0.1818792553976914,0.0,0.3,0.3005,-0.03173625088530435,0.42275404554870355,-0.0077675909847168415
0.07,0.0,1.0892,0.1723193203283918,0.4973765365908841,0.1533703204489823,0.0,0.2833333333333333,0.31725,0.015755101966007563,0.39433057552836237,-0.00437669648023091
0.08,0.0,1.0892,0.162432119900875,0.4945868766798804,0.1248346780095562,0.0,0.2666666666666666,0.334,0.05238078003648105,0.3658077372600738,-0.003603431065876526
0.09,0.0,1.0892,0.1524998004844879,0.4919623832575586,0.0962958967457352,0.0,0.25,0.35075,0.07850864389370557,0.33723629051341886,-0.005359724906517061
0.1,0.0,1.0892,0.1425251209929816,0.4895037853329937,0.0677775109828241,0.0,0.2333333333333333,0.3675,0.11417880499602345,0.30872937107456566,-0.004816753920411272
0.11,0.0,1.0892,0.1325108521065222,0.4872117658342454,0.0393029967415681,0.0,0.2166666666666666,0.38425,0.1485705647527584,0.2802594390667373,-0.0045818011739284315
0.12,0.0,1.0892,0.1224597755020757,0.4850869614186587,0.010895747849581,0.0,0.2,0.401,0.1807673940460244,0.25184642185186834,-0.004875725365877086
0.13,0.0,1.0892,0.1157399873527925,0.4837636157881033,-0.006115835749066,0.0,0.1888888888888888,0.4087222222222222,0.2144393947636818,0.23488065836335237,-0.0012999328917658443
0.14,0.0,1.0892,0.1090059104631862,0.4825150146211859,-0.0230984877820816,0.0,0.1777777777777777,0.4164444444444445,0.22903113300296582,0.21789032466164385,-0.0023221276801490337
0.15,0.0,1.0892,0.102258376192221,0.4813413120646129,-0.0400477418852797,0.0,0.1666666666666666,0.4241666666666667,0.2432264929406432,0.20092770870456358,-0.003439798398452061
0.16,0.0,1.0892,0.0954982175602488,0.4802426530184438,-0.0569591466519136,0.0,0.1555555555555555,0.4318888888888889,0.265235451944362,0.1840260123623645,-0.0026745345133502977
0.17,0.0,1.0892,0.088726269146169,0.4792191731182024,-0.0738282670189005,0.0,0.1444444444444444,0.4396111111111112,0.2838230695399784,0.1671562275452763,-0.0027337482781413496
0.18,0.0,1.0892,0.0819433669843944,0.4782709987181318,-0.0906506856468888,0.0,0.1333333333333333,0.4473333333333333,0.3016470453922336,0.1503309268306853,-0.002976986346676629
0.19,0.0,1.0892,0.0751503484616383,0.4773982468755958,-0.1074220042937029,0.0,0.1222222222222222,0.4550555555555556,0.3210982244880666,0.13356140150679147,-0.002828096319832205
0.2,0.0,1.0892,0.068348052213535,0.4766010253366269,-0.124137845180701,0.0,0.1111111111111111,0.4627777777777778,0.3399189152238049,0.11684552484605082,-0.002831142975832699
0.21,0.0,1.0892,0.0615373180211048,0.4758794325226249,-0.1407938523515869,0.0,0.1,0.4705,0.3492276618153553,0.10015162196378158,-0.005126246867066363
0.22,0.0,1.0892,0.0547189867070792,0.4752335575182056,-0.1573856930232167,0.0,0.0888888888888888,0.4782222222222222,0.35057851422791325,0.08343334633928981,-0.009337573588440421
0.23,0.0,1.0892,0.0478939000320959,0.4746634800602037,-0.1739090589279449,0.0,0.0777777777777777,0.4859444444444445,0.35232000783031775,0.06671521739837796,-0.013452049748399588
0.24,0.0,1.0892,0.0410629005907794,0.4741692705278282,-0.1903596676470592,0.0,0.0666666666666666,0.4936666666666667,0.35421757815051963,0.05000229173216009,-0.01752508155138043
0.25,0.0,1.0892,0.0342268317077179,0.4737509899339739,-0.2067332639348539,0.0,0.0555555555555555,0.5013888888888889,0.3562208519080344,0.033299720633856444,-0.02156771473840626
0.26,0.0,1.0892,0.0273865373333501,0.4734086899176889,-0.2230256210328965,0.0,0.0444444444444444,0.5091111111111112,0.35830333583695556,0.01661242813433375,-0.025585257304239335
0.27,0.0,1.0892,0.0205428619397749,0.4731424127377998,-0.2392325419740458,0.0,0.0333333333333333,0.5168333333333334,0.3604476058882319,-5.48387631818803e-05,-0.029580843239770564
0.28,0.0,1.0892,0.0136966504164966,0.4729521912676944,-0.255349860875783,0.0,0.0222222222222221,0.5245555555555557,0.36264088049985393,-0.016697474297137332,-0.033556495352117334
0.29,0.0,1.0892,0.006848747966119,0.4728380489912631,-0.2713734442224205,0.0,0.0111111111111111,0.5322777777777778,0.3648730990126598,-0.033310992475609175,-0.03751358511655651
0.3,0.0,1.0892,0.0,0.4728,-0.2872991921357596,0.0,0.0,0.54,0.36712378255377853,-0.04989151748884818,-0.04145595275405269
